nm,PVK2_5mM,PVK05mM,lactateD2_5mM,lactateD05mM,FeCl11mM,lactateD10mM,PVK10mM,PVK5.0mM,lactateD5mM,lactateD1mM,lactateD01mM,PVK1mM,PVK01mM
646.0130615,98.62891388,99.05003357,99.08783722,99.09529877,99.1299057,98.95372772,97.93804932,98.33364105,99.11878967,99.30162048,99.28536224,98.66013336,99.08892822
644.9849243,98.71475983,99.08742523,99.12266541,99.09038544,99.15261078,98.90515137,97.85281372,98.20449829,99.12333679,99.3015976,99.21473694,98.671875,99.02325439
643.9564819,98.61145782,99.04658508,99.06653595,99.03696442,99.1133194,98.83391571,97.7469101,98.2711792,99.01325989,99.30008698,99.23069,98.65399933,99.04514313
642.9277344,98.61386871,98.96498108,99.10791016,98.96339417,99.14919281,98.94304657,97.85462952,98.34176636,99.09557343,99.35945129,99.27133179,98.77140808,99.12059021
642.0457153,98.69405365,99.07543945,99.11155701,99.10430145,99.27017212,98.95398712,97.73804474,98.34407806,99.1032486,99.30192566,99.25644684,98.54667664,99.09344482
641.0164185,98.68977356,99.10460663,99.10501862,99.21727753,99.24516296,99.00061798,97.76034546,98.33047485,99.20453644,99.24276733,99.30454254,98.62582397,99.05492401
639.9868164,98.6436615,99.08355713,99.07931519,99.13598633,99.21884155,99.02293396,97.75576782,98.25392914,99.13075256,99.26104736,99.27251434,98.61634064,99.12836456
638.9569092,98.5353775,98.96417999,99.09516907,99.02772522,99.03258514,98.89220428,97.61070251,98.22554779,98.98875427,99.24584961,99.25939941,98.70065308,99.09300995
637.9266968,98.52097321,98.91030121,99.01525879,98.95843506,99.05032349,98.89560699,97.51003265,98.2178421,98.98898315,99.2773819,99.26882172,98.61614227,99.0459137
637.043457,98.57733154,99.0885849,99.06919861,99.13394165,99.24155426,98.98053741,97.69631958,98.19911957,99.13879395,99.23323059,99.22003174,98.64476013,99.09065247
636.0126343,98.6687088,99.07839203,99.11289978,99.09927368,99.20524597,98.91694641,97.61860657,98.20572662,99.11593628,99.36092377,99.27862549,98.72849274,99.13542175
634.9815674,98.55315399,98.98114014,99.03135681,99.07467651,99.19770813,98.82865906,97.59334564,98.11534119,99.05380249,99.17004395,99.16913605,98.57156372,99.03565216
633.9502563,98.52835846,98.94713593,99.0629425,99.03938293,99.15325928,98.79080963,97.5112381,98.13064575,98.94566345,99.19917297,99.15883636,98.54094696,99.04024506
633.065979,98.47266388,98.95838165,99.04173279,99.03522491,99.12704468,98.76621246,97.40458679,98.07239532,98.98548889,99.19087982,99.21994019,98.57339478,99.02047729
632.0340576,98.58528137,99.04431915,99.0683136,99.14034271,99.18598175,98.96748352,97.48184967,98.11566925,99.03268433,99.26042938,99.24617004,98.5247345,99.05069733
631.0018311,98.45141602,99.04367065,99.03810883,99.06034088,99.16321564,98.78283691,97.44911957,97.95326233,98.97169495,99.2930603,99.24589539,98.66030884,99.13781738
629.9692993,98.42775726,98.97840118,98.9199295,99.00706482,99.14849091,98.82431793,97.30141449,98.07207489,98.91311646,99.24533081,99.23210144,98.60237885,99.06623077
628.9365234,98.41835022,98.97977448,98.99328613,99.03662872,99.15969086,98.82563019,97.2467041,97.96514893,98.96783447,99.23239899,99.24952698,98.56022644,99.08407593
628.0509644,98.42292786,98.98293304,98.99207306,98.97212219,99.08055878,98.80416107,97.21447754,97.95402527,98.88153839,99.03892517,99.2071228,98.54045868,99.08943176
627.0176392,98.48908234,99.00224304,98.98303986,99.08003235,99.18963623,98.81378937,97.2593689,97.8938446,98.99687958,99.24671936,99.22927094,98.54103851,99.02775574
625.9839478,98.41636658,98.9588089,98.9475174,99.02075195,99.1008606,98.80458832,97.19765472,97.92724609,98.92402649,99.26056671,99.24447632,98.5877533,99.05900574
624.9500122,98.38196564,99.01230621,98.98970032,99.02064514,99.19374847,98.78910828,97.16708374,97.8596344,98.95165253,99.1459198,99.15467072,98.53362274,99.05196381
624.0635376,98.27503204,98.86486816,98.76712036,98.97029114,99.03535461,98.75893402,97.04857635,97.69212341,98.81933594,99.16092682,99.20683289,98.53475952,99.0765686
623.0289917,98.35923767,99.0240097,98.99376678,99.14762878,99.14884949,98.7975769,97.12989044,97.83796692,98.99396515,99.15396118,99.20219421,98.49130249,99.00869751
621.9942017,98.36805725,98.93434906,98.85321045,98.96195221,99.09883118,98.73554993,96.99810791,97.82104492,98.8727417,99.13899231,99.1410141,98.48313904,98.99533844
620.9591064,98.35220337,98.97509766,98.89500427,99.0437088,99.1342392,98.79263306,97.04637909,97.7649765,98.94780731,99.13410187,99.17584991,98.50918579,99.04669952
620.0716553,98.25502014,98.90288544,98.88417053,98.9848938,99.13864136,98.70484161,96.94905853,97.7522583,98.93378448,99.13863373,99.2541275,98.45593262,98.96372986
619.0360718,98.22849274,98.92090607,98.92048645,99.00865936,99.11729431,98.72593689,96.90244293,97.71146393,98.86437225,99.12417603,99.12142944,98.35386658,98.9492569
618.0001221,98.23729706,98.97946167,98.94069672,98.97947693,99.11273193,98.66047668,96.80967712,97.72131348,98.88609314,99.22644043,99.14935303,98.50424194,98.98517609
616.9639282,98.22724152,98.84447479,98.83945465,98.96510315,99.09651947,98.62815857,96.7208786,97.58002472,98.82949066,99.11952209,99.12140656,98.44108582,98.99119568
615.9273682,98.19314575,98.93836212,98.87290955,99.07162476,99.14676666,98.6861496,96.75937653,97.71221924,98.80315399,99.05375671,99.14208984,98.39138031,98.90620422
615.0386963,98.14138794,98.94915771,98.79529572,99.02407837,99.03097534,98.63733673,96.59401703,97.57796478,98.75675964,99.15535736,99.05246735,98.38405609,98.85925293
614.0016479,98.17345428,98.96212006,98.77958679,98.92128754,99.15090942,98.61573029,96.61642456,97.5700531,98.79943848,99.14806366,99.19818878,98.39572144,99.00984192
612.9643555,98.13635254,98.95550537,98.75125122,98.92642212,99.1552124,98.61483002,96.54759979,97.50272369,98.76963043,99.12246704,99.18744659,98.42041016,99.05413055
611.9266968,98.11199951,98.9438858,98.7437439,99.02561951,99.14564514,98.5739212,96.54380798,97.48987579,98.77799225,99.13295746,99.16726685,98.43596649,98.9863205
611.0371094,98.06552887,98.89290619,98.68100739,98.96871948,99.08145905,98.50391388,96.4797821,97.43798065,98.70141602,99.1570282,99.13774872,98.39601135,98.97102356
609.9989014,98.07447815,98.88008118,98.65687561,98.88398743,99.01332855,98.53278351,96.36455536,97.35129547,98.70657349,99.0335083,99.06629181,98.25284576,98.92190552
608.9604492,98.08852386,98.91254425,98.66320801,98.97801208,99.09392548,98.5273056,96.36504364,97.41086578,98.75035095,99.06200409,99.07617188,98.24950409,98.93945313
608.0701294,98.10416412,98.91884613,98.68909454,98.96996307,99.12497711,98.51914978,96.26657104,97.36713409,98.69664764,99.05462646,99.08640289,98.33970642,98.92823029
607.031189,98.04211426,98.87508392,98.58408356,98.95214081,99.08190155,98.47866821,96.25733185,97.2850647,98.63685608,99.06217194,99.09366608,98.29503632,98.86481476
605.9918823,98.00291443,98.83443451,98.53365326,98.87592316,99.04675293,98.41199493,96.122612,97.23815918,98.64245605,98.99827576,99.08799744,98.2432785,98.83985901
604.9523315,97.92934418,98.79882813,98.49950409,98.90138245,99.10353088,98.41960907,96.09581757,97.21824646,98.56216431,99.04244232,99.05741882,98.20083618,98.87665558
